t,i,v
5.49,-2.32396421726168,-7
5.5,-2.3240579084224,-7
5.51,-2.32415066267151,-7
5.52,-2.32424248937813,-7
5.53,-2.32433339781768,-7
5.54,-2.32442339717283,-7
5.55,-2.32451249653444,-7
5.56,-2.32460070490243,-7
5.57,-2.32468803118674,-7
5.58,-2.3247744842082,-7
5.59,-2.32486007269946,-7
5.6,-2.32494480530579,-7
5.61,-2.32502869058607,-7
5.62,-2.32511173701354,-7
5.63,-2.32519395297674,-7
5.64,-2.32527534678031,-7
5.65,-2.32535592664584,-7
5.66,-2.32543570071271,-7
5.67,-2.32551467703892,-7
5.68,-2.32559286360186,-7
5.69,-2.32567026829918,-7
5.7,-2.32574689894952,-7
5.71,-2.32582276329336,-7
5.72,-2.32589786899376,-7
5.73,-2.32597222363715,-7
5.74,-2.32604583473411,-7
5.75,-2.32611870972011,-7
5.76,-2.32619085595624,-7
5.77,-2.32626228073001,-7
5.78,-2.32633299125604,-7
5.79,-2.32640299467682,-7
5.8,-2.32647229806338,-7
5.81,-2.32654090841608,-7
5.82,-2.32660883266525,-7
5.83,-2.32667607767193,-7
5.84,-2.32674265022855,-7
5.85,-2.3268085570596,-7
5.86,-2.32687380482233,-7
5.87,-2.32693840010744,-7
5.88,-2.3270023494397,-7
5.89,-2.32706565927864,-7
5.9,-2.32712833601919,-7
5.91,-2.32719038599233,-7
5.92,-2.32725181546574,-7
5.93,-2.32731263064441,-7
5.94,-2.3273728376713,-7
5.95,-2.32743244262792,-7
5.96,-2.32749145153498,-7
5.97,-2.32754987035296,-7
5.98,-2.32760770498276,-7
5.99,-2.32766496126627,-7
6,-2.32772164498694,-7
6.01,-2.3277777618704,-7
6.02,-2.32783331758503,-7
6.03,-2.32788831774252,-7
6.04,-2.32794276789842,-7
6.05,-2.32799667355277,-7
6.06,-2.32805004015058,-7
6.07,-2.32810287308241,-7
6.08,-2.32815517768492,-7
6.09,-2.3282069592414,-7
6.1,-2.32825822298232,-7
6.11,-2.32830897408583,-7
6.12,-2.3283592176783,-7
6.13,-2.32840895883485,-7
6.14,-2.32845820257984,-7
6.15,-2.32850695388737,-7
6.16,-2.32855521768183,-7
6.17,-2.32860299883835,-7
6.18,-2.3286503021833,-7
6.19,-2.3286971324948,-7
6.2,-2.32874349450318,-7
6.21,-2.32878939289149,-7
6.22,-2.3288348322959,-7
6.23,-2.32887981730628,-7
6.24,-2.32892435246655,-7
6.25,-2.32896844227522,-7
6.26,-2.3290120911858,-7
6.27,-2.32905530360727,-7
6.28,-2.32909808390453,-7
6.29,-2.32914043639882,-7
6.3,-2.32918236536817,-7
6.31,-2.32922387504782,-7
6.32,-2.32926496963067,-7
6.33,-2.3293056532677,-7
6.34,-2.32934593006836,-7
6.35,-2.32938580410101,-7
6.36,-2.32942527939333,-7
6.37,-2.32946435993273,-7
6.38,-2.32950304966674,-7
6.39,-2.3295413525034,-7
6.4,-2.3295792723117,-7
6.41,-2.32961681292192,-7
6.42,-2.32965397812603,-7
6.43,-2.32969077167811,-7
6.44,-2.32972719729466,-7
6.45,-2.32976325865504,-7
6.46,-2.32979895940183,-7
6.47,-2.32983430314114,-7
6.48,-2.32986929344306,-7
6.49,-2.32990393384197,-7
6.5,-2.32993822783688,-7
6.51,-2.32997217889185,-7
6.52,-2.33000579043626,-7
6.53,-2.33003906586523,-7
6.54,-2.33007200853991,-7
6.55,-2.33010462178785,-7
6.56,-2.3301369089033,-7
6.57,-2.3301688731476,-7
6.58,-2.33020051774946,-7
6.59,-2.3302318459053,-7
6.6,-2.33026286077958,-7
6.61,-2.33029356550512,-7
6.62,-2.3303239631834,-7
6.63,-2.3303540568849,-7
6.64,-2.33038384964938,-7
6.65,-2.33041334448622,-7
6.66,-2.33044254437469,-7
6.67,-2.33047145226428,-7
6.68,-2.33050007107497,-7
6.69,-2.33052840369755,-7
6.7,-2.33055645299391,-7
6.71,-2.3305842217973,-7
6.72,-2.33061171291267,-7
6.73,-2.33063892911687,-7
6.74,-2.33066587315904,-7
6.75,-2.33069254776078,-7
6.76,-2.33071895561651,-7
6.77,-2.33074509939367,-7
6.78,-2.33077098173307,-7
6.79,-2.33079660524907,-7
6.8,-2.33082197252992,-7
6.81,-2.33084708613795,-7
6.82,-2.3308719486099,-7
6.83,-2.33089656245714,-7
6.84,-2.3309209301659,-7
6.85,-2.33094505419757,-7
6.86,-2.33096893698893,-7
6.87,-2.33099258095238,-7
6.88,-2.33101598847618,-7
6.89,-2.33103916192476,-7
6.9,-2.33106210363884,-7
6.91,-2.33108481593579,-7
6.92,-2.33110730110976,-7
6.93,-2.331129561432,-7
6.94,-2.33115159915101,-7
6.95,-2.33117341649284,-7
6.96,-2.33119501566124,-7
6.97,-2.33121639883796,-7
6.98,-2.33123756818291,-7
6.99,-2.33125852583442,-7
7,-2.33127927390941,-7
0,0,-5
3.15544362088405e-30,-5.25907270147341e-30,-5
0.00012057054871246,-0.000200950914520766,-5
0.000723423292274759,-0.0012057054871246,-5
0.00373768701008626,-0.00622947835014376,-5
0.01,-0.0166666666666667,-5
0.02,-0.0331666666666667,-5
0.03,-0.0495016666666667,-5
0.04,-0.0656733166666667,-5
0.05,-0.0816832501666667,-5
0.06,-0.0975330843316667,-5
0.07,-0.113224420155017,-5
0.08,-0.128758842620133,-5
0.09,-0.144137920860599,-5
0.1,-0.159363208318659,-5
0.11,-0.174436242902139,-5
0.12,-0.189358547139785,-5
0.13,-0.204131628335053,-5
0.14,-0.218756978718369,-5
0.15,-0.233236075597852,-5
0.16,-0.247570381508541,-5
0.17,-0.261761344360122,-5
0.18,-0.275810397583187,-5
0.19,-0.289718960274022,-5
0.2,-0.303488437337949,-5
0.21,-0.317120219631236,-5
0.22,-0.33061568410159,-5
